2025-05-14 19:08:17,035 - INFO - Logging to logs/training_20250514_190817/e3nn_training_20250514_190817.log
2025-05-14 19:08:17,552 - INFO - Epoch 10/100, Loss: 37486965.250000
2025-05-14 19:08:17,949 - INFO - Epoch 20/100, Loss: 24060102.875000
2025-05-14 19:08:18,054 - INFO - Epoch 30/100, Loss: 27540117.250000
2025-05-14 19:08:18,174 - INFO - Epoch 40/100, Loss: 66508610.250000
2025-05-14 19:08:18,259 - INFO - Epoch 50/100, Loss: 34831563.500000
2025-05-14 19:08:18,346 - INFO - Epoch 60/100, Loss: 36528087.250000
2025-05-14 19:08:18,428 - INFO - Epoch 70/100, Loss: 26537269.750000
2025-05-14 19:08:18,510 - INFO - Epoch 80/100, Loss: 50514572.250000
2025-05-14 19:08:18,590 - INFO - Epoch 90/100, Loss: 27349846.125000
2025-05-14 19:08:18,689 - INFO - Epoch 100/100, Loss: 39563160.500000
2025-05-14 19:08:18,706 - INFO - Model saved to models/e3nn_correlator_20250514_190817.pth
