2025-05-14 19:09:50,300 - INFO - Logging to logs/training_20250514_190950/e3nn_training_20250514_190950.log
2025-05-14 19:09:50,820 - INFO - Epoch 10/100, Loss: 55526.984375
2025-05-14 19:09:50,922 - INFO - Epoch 20/100, Loss: 55485.246094
2025-05-14 19:09:51,025 - INFO - Epoch 30/100, Loss: 55415.848145
2025-05-14 19:09:51,124 - INFO - Epoch 40/100, Loss: 55317.616211
2025-05-14 19:09:51,224 - INFO - Epoch 50/100, Loss: 55189.559570
2025-05-14 19:09:51,323 - INFO - Epoch 60/100, Loss: 55036.745117
2025-05-14 19:09:51,423 - INFO - Epoch 70/100, Loss: 54855.938477
2025-05-14 19:09:51,524 - INFO - Epoch 80/100, Loss: 54652.429199
2025-05-14 19:09:51,627 - INFO - Epoch 90/100, Loss: 54423.783691
2025-05-14 19:09:51,731 - INFO - Epoch 100/100, Loss: 54174.281738
2025-05-14 19:09:51,740 - INFO - Model saved to models/e3nn_correlator_20250514_190950.pth
