2025-05-14 18:49:57,907 - INFO - Logging to logs/training_20250514_184957/e3nn_training_20250514_184957.log
2025-05-14 18:49:58,478 - INFO - Epoch 10/100, Loss: 1346134.140625
2025-05-14 18:49:58,603 - INFO - Epoch 20/100, Loss: 1328570.765625
2025-05-14 18:49:58,723 - INFO - Epoch 30/100, Loss: 1244797.718750
2025-05-14 18:49:58,843 - INFO - Epoch 40/100, Loss: 972226.101562
2025-05-14 18:49:58,962 - INFO - Epoch 50/100, Loss: 469055.851562
2025-05-14 18:49:59,165 - INFO - Epoch 60/100, Loss: 172971.921875
2025-05-14 18:49:59,300 - INFO - Epoch 70/100, Loss: 126324.820312
2025-05-14 18:49:59,419 - INFO - Epoch 80/100, Loss: 110096.745117
2025-05-14 18:49:59,537 - INFO - Epoch 90/100, Loss: 101541.456055
2025-05-14 18:49:59,660 - INFO - Epoch 100/100, Loss: 93693.559570
2025-05-14 18:49:59,663 - INFO - Model saved to models/e3nn_correlator_20250514_184957.pth
